epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,2388.94,0.96757,0.58491,1.06811,0.93653,0.91106,0.9735,0.78952,0.88826,0.4738,1.04209,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,2411.9,0.96289,0.57909,1.07363,0.94803,0.92457,0.97391,0.79666,0.85981,0.47615,1.02607,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,2434.79,0.95411,0.58111,1.06758,0.94026,0.90936,0.97435,0.80071,0.8778,0.50225,1.05071,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,2457.74,0.95604,0.5678,1.0613,0.90613,0.9334,0.97318,0.80255,0.84051,0.47424,1.02318,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,2480.71,0.95105,0.56692,1.05947,0.94416,0.92997,0.97766,0.80638,0.84042,0.4674,1.01743,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,2503.63,0.95706,0.57661,1.06129,0.93565,0.90987,0.97383,0.80183,0.83817,0.47275,1.01725,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,2526.23,0.9474,0.56787,1.06074,0.92968,0.91817,0.9749,0.79732,0.86849,0.46884,1.04261,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,2549.23,0.93027,0.55637,1.06129,0.93772,0.91068,0.97558,0.80415,0.86286,0.48632,1.03815,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,2571.93,0.94222,0.57106,1.06851,0.94824,0.90854,0.97456,0.80769,0.87587,0.46236,1.04516,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,2594.92,0.93439,0.56342,1.05784,0.94678,0.92614,0.97744,0.80811,0.85879,0.47962,1.04204,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,2617.91,0.93377,0.56054,1.05786,0.94396,0.93502,0.97964,0.81921,0.82526,0.45344,1.01234,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,2641.23,0.93283,0.56653,1.05823,0.94652,0.90666,0.97312,0.80561,0.82877,0.48036,1.03041,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,2664.01,0.93468,0.54672,1.04842,0.9606,0.90972,0.97621,0.81235,0.82728,0.46507,1.02502,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,2686.93,0.93809,0.55396,1.05215,0.95031,0.91851,0.97834,0.81492,0.83247,0.46099,1.02341,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,2709.72,0.91285,0.53859,1.04837,0.95728,0.92473,0.98065,0.82171,0.82361,0.46656,1.02264,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,2732.42,0.91946,0.54285,1.04489,0.9435,0.91684,0.97741,0.81028,0.83946,0.45424,1.02818,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,2755.43,0.91215,0.5384,1.04822,0.94928,0.92215,0.97863,0.80867,0.84415,0.44691,1.01862,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,2778.49,0.92367,0.55312,1.0477,0.94105,0.92056,0.97691,0.80654,0.84854,0.46933,1.03298,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,2801.13,0.90974,0.53846,1.04524,0.95729,0.90327,0.97577,0.80727,0.83783,0.45997,1.02266,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,2824.24,0.91371,0.53962,1.04589,0.96117,0.90087,0.97969,0.80645,0.83042,0.45222,1.02831,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,2847.53,0.90519,0.53959,1.03752,0.93771,0.92569,0.97727,0.81352,0.80836,0.42315,1.02161,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,2870.49,0.91145,0.54433,1.04235,0.92425,0.94394,0.97605,0.8154,0.8142,0.44596,1.00716,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,2893.52,0.90135,0.52721,1.0364,0.95459,0.93943,0.98029,0.82041,0.81826,0.45927,1.02193,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,2916.46,0.90259,0.53751,1.0402,0.94505,0.92403,0.97669,0.81664,0.83162,0.45492,1.02221,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,2939.39,0.88807,0.51973,1.03208,0.93489,0.9425,0.97847,0.82006,0.80557,0.45158,0.99959,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,2962.09,0.88997,0.53745,1.03554,0.94165,0.94185,0.97892,0.82433,0.791,0.43398,1.0037,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,2985.04,0.89004,0.52119,1.0355,0.94183,0.91945,0.97478,0.81559,0.80187,0.45279,1.01043,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,3008.19,0.89934,0.53039,1.04326,0.94105,0.92625,0.9791,0.82474,0.79861,0.45851,1.00655,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,3030.97,0.89183,0.52894,1.03633,0.94681,0.91762,0.97945,0.8254,0.81678,0.42702,1.0151,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,3053.74,0.90491,0.52232,1.03254,0.94457,0.94301,0.98153,0.82601,0.81179,0.44328,1.01576,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,3076.39,0.87242,0.51537,1.02449,0.93534,0.95044,0.98048,0.82765,0.8011,0.43383,1.01715,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,3099.7,0.88407,0.52151,1.03115,0.95152,0.92182,0.97945,0.82623,0.81597,0.44297,1.01285,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
